Navn;Stasjon;Dato;Nedbør;Middeltemperatur;Maksimumstemperatur;Minimumstemperatur;Snødybde
Oslo - Blindern;SN18700;09.08.2018;7,1;20,7;25,7;18;0
Oslo - Blindern;SN18700;10.08.2018;13,4;16,1;21,5;14,2;0
Oslo - Blindern;SN18700;11.08.2018;2,2;15,4;20,2;8,9;0
Oslo - Blindern;SN18700;12.08.2018;1,2;12,8;16,8;11,2;0
Oslo - Blindern;SN18700;13.08.2018;3;15,3;22,4;7,9;0
Oslo - Blindern;SN18700;14.08.2018;0;15,8;20,5;10,8;0
Oslo - Blindern;SN18700;15.08.2018;0;15,6;22;9,8;0
Oslo - Blindern;SN18700;16.08.2018;0;17,8;19,9;17;0
Oslo - Blindern;SN18700;17.08.2018;0,8;16;20,5;12,7;0
Oslo - Blindern;SN18700;18.08.2018;4,8;14,8;17,6;10,4;0
Oslo - Blindern;SN18700;19.08.2018;0,1;15,9;22,3;8,9;0
Oslo - Blindern;SN18700;20.08.2018;0;13,9;20;9,4;0
Oslo - Blindern;SN18700;21.08.2018;0,1;14,7;21,1;7,5;0
Oslo - Blindern;SN18700;22.08.2018;0,1;15,5;18,7;10,5;0
Oslo - Blindern;SN18700;23.08.2018;2,7;15,4;19,6;11,1;0
Oslo - Blindern;SN18700;24.08.2018;0,3;14,6;19,9;12;0
Oslo - Blindern;SN18700;25.08.2018;1,5;12,8;19,1;5,9;0
Oslo - Blindern;SN18700;26.08.2018;0;12,9;19,1;7,9;0
Oslo - Blindern;SN18700;27.08.2018;0,2;12,7;16,6;9,1;0
Oslo - Blindern;SN18700;28.08.2018;2,7;14,8;20,6;11,9;0
Oslo - Blindern;SN18700;29.08.2018;0;14,6;18,3;9,5;0
Oslo - Blindern;SN18700;30.08.2018;5,6;15,9;21,5;13,2;0
Oslo - Blindern;SN18700;31.08.2018;0,1;14,7;19,9;11,4;0
Oslo - Blindern;SN18700;01.09.2018;0;14,9;21,1;8,5;0
Oslo - Blindern;SN18700;02.09.2018;0;15,1;21,2;10,1;0
Oslo - Blindern;SN18700;03.09.2018;0;15,8;22,1;10,6;0
Oslo - Blindern;SN18700;04.09.2018;0;16,3;22,2;10,7;0
Oslo - Blindern;SN18700;05.09.2018;0,3;17;20,9;14,6;0
Oslo - Blindern;SN18700;06.09.2018;0;15,5;17,1;14,8;0
Oslo - Blindern;SN18700;07.09.2018;2,2;15,8;17,3;14,1;0
Oslo - Blindern;SN18700;08.09.2018;13;14,4;17,8;12,7;0
Oslo - Blindern;SN18700;09.09.2018;8,5;14,1;16,5;12,2;0
Oslo - Blindern;SN18700;10.09.2018;41,5;15;18,2;13,9;0
Oslo - Blindern;SN18700;11.09.2018;1,2;11,8;14,7;10,9;0
Oslo - Blindern;SN18700;12.09.2018;23;12,1;17,8;7,4;0
Oslo - Blindern;SN18700;13.09.2018;0;12;16,8;6,3;0
Oslo - Blindern;SN18700;14.09.2018;0,1;12,4;16,8;8,4;0
Oslo - Blindern;SN18700;15.09.2018;0,6;11,7;17,5;5,6;0
Oslo - Blindern;SN18700;16.09.2018;0;9,4;13,2;3,4;0
Oslo - Blindern;SN18700;17.09.2018;6,3;12,3;15,8;9,5;0
Oslo - Blindern;SN18700;18.09.2018;0,7;15,8;19,2;11,5;0
Oslo - Blindern;SN18700;19.09.2018;0,1;16,9;21,1;14,6;0
Oslo - Blindern;SN18700;20.09.2018;0,3;14;17,7;11,7;0
Oslo - Blindern;SN18700;21.09.2018;2,6;11,2;15,5;8,2;0
Oslo - Blindern;SN18700;22.09.2018;19,1;11,2;16,3;9;0
Oslo - Blindern;SN18700;23.09.2018;0,1;9,8;15,9;4,6;0
Oslo - Blindern;SN18700;24.09.2018;0;7,6;13,4;2,5;0
Oslo - Blindern;SN18700;25.09.2018;0;8,1;12,5;-0,2;0
Oslo - Blindern;SN18700;26.09.2018;0;13,3;20,2;10,6;0
Oslo - Blindern;SN18700;27.09.2018;0;7,9;12,4;6,4;0
Oslo - Blindern;SN18700;28.09.2018;4,8;6;13,2;1,4;0
Oslo - Blindern;SN18700;29.09.2018;0,2;7,8;11,9;2,5;0
Oslo - Blindern;SN18700;30.09.2018;0,1;9,3;14,6;5;0
Oslo - Blindern;SN18700;01.10.2018;0;6,1;13;1,2;0
Oslo - Blindern;SN18700;02.10.2018;2,6;4,4;5,9;1,9;0
Oslo - Blindern;SN18700;03.10.2018;4,4;6,8;12,7;0,9;0
Oslo - Blindern;SN18700;04.10.2018;0;6,1;9,1;1,4;0
Oslo - Blindern;SN18700;05.10.2018;0,4;9,5;12,9;6,3;0
Oslo - Blindern;SN18700;06.10.2018;0;6,6;11;2,4;0
Oslo - Blindern;SN18700;07.10.2018;0;6,7;10,3;2,2;0
Oslo - Blindern;SN18700;08.10.2018;1,3;10,6;16,2;6;0
Oslo - Blindern;SN18700;09.10.2018;0;12,7;15,4;6;0
Oslo - Blindern;SN18700;10.10.2018;0;13;17,8;10,2;0
Oslo - Blindern;SN18700;11.10.2018;0;11,8;14,1;9,9;0
Oslo - Blindern;SN18700;12.10.2018;0;11;12,6;9,5;0
Oslo - Blindern;SN18700;13.10.2018;0;15,2;16,9;11,9;0
Oslo - Blindern;SN18700;14.10.2018;0;14,4;17,3;13,1;0
Oslo - Blindern;SN18700;15.10.2018;0,2;11,9;13,5;10,4;0
Oslo - Blindern;SN18700;16.10.2018;2,1;6,7;10,4;3,8;0
Oslo - Blindern;SN18700;17.10.2018;0,8;10,5;13,8;7;0
Oslo - Blindern;SN18700;18.10.2018;0,2;7,8;13,7;3,4;0
Oslo - Blindern;SN18700;19.10.2018;0;5,9;10,4;2,5;0
Oslo - Blindern;SN18700;20.10.2018;0;6;10,5;2,1;0
Oslo - Blindern;SN18700;21.10.2018;0;9,4;14,5;4,4;0
Oslo - Blindern;SN18700;22.10.2018;2,4;7,7;12,3;3,5;0
Oslo - Blindern;SN18700;23.10.2018;0;7,6;13;4,7;0
Oslo - Blindern;SN18700;24.10.2018;0;3,8;8,7;-1,5;0
Oslo - Blindern;SN18700;25.10.2018;0;3,9;9,4;-0,5;0
Oslo - Blindern;SN18700;26.10.2018;0;2,5;5,1;-0,6;0
Oslo - Blindern;SN18700;27.10.2018;0;1,6;3,4;0;0
Oslo - Blindern;SN18700;28.10.2018;0,3;0,2;3,2;-2,2;0
Oslo - Blindern;SN18700;29.10.2018;0;-0,3;0,4;-1,9;0
Oslo - Blindern;SN18700;30.10.2018;3,5;1,9;2,9;-0,2;5
Oslo - Blindern;SN18700;31.10.2018;20,4;5,9;7,8;2,8;0
Oslo - Blindern;SN18700;01.11.2018;6,6;5,3;7,3;0,8;0
Oslo - Blindern;SN18700;02.11.2018;0,3;6,1;8,3;4,6;0
Oslo - Blindern;SN18700;03.11.2018;5,8;4,6;6,9;1,4;0
Oslo - Blindern;SN18700;04.11.2018;1;8;9,1;6,9;0
Oslo - Blindern;SN18700;05.11.2018;0,1;6,6;7,7;6,1;0
Oslo - Blindern;SN18700;06.11.2018;0;7,1;8;6,2;0
Oslo - Blindern;SN18700;07.11.2018;0,1;6,5;7,7;3,6;0
Oslo - Blindern;SN18700;08.11.2018;0;7,5;8;6,8;0
Oslo - Blindern;SN18700;09.11.2018;1,3;7,6;8,1;7,5;0
Oslo - Blindern;SN18700;10.11.2018;8,4;7,6;8,2;6,5;0
Oslo - Blindern;SN18700;11.11.2018;25,8;8,8;9,5;7,7;0
Oslo - Blindern;SN18700;12.11.2018;28,3;8,8;11,5;6,3;0
Oslo - Blindern;SN18700;13.11.2018;4,8;7,2;8,4;6,5;0
Oslo - Blindern;SN18700;14.11.2018;4,6;4,5;6,8;3,3;0
Oslo - Blindern;SN18700;15.11.2018;2,6;9,4;10,7;4,6;0
Oslo - Blindern;SN18700;16.11.2018;0;7,1;10;5,7;0
Oslo - Blindern;SN18700;17.11.2018;0;5;7,3;5;0
Oslo - Blindern;SN18700;18.11.2018;0;3,2;6,7;0,8;0
Oslo - Blindern;SN18700;19.11.2018;0;0,1;3,8;-1;0
Oslo - Blindern;SN18700;20.11.2018;0,1;-1,5;-1;-3;0
Oslo - Blindern;SN18700;21.11.2018;0;1,8;2,8;-3,2;0
Oslo - Blindern;SN18700;22.11.2018;0;-3,1;1,6;-4,8;0
Oslo - Blindern;SN18700;23.11.2018;0;-6,3;-4,4;-7,2;0
Oslo - Blindern;SN18700;24.11.2018;0;-3;1,9;-9,1;0
Oslo - Blindern;SN18700;25.11.2018;0;-0,4;1,5;-1,7;0
Oslo - Blindern;SN18700;26.11.2018;0;-5,3;0,2;-7,2;0
Oslo - Blindern;SN18700;27.11.2018;0;-5,5;-0,6;-7,4;0
Oslo - Blindern;SN18700;28.11.2018;0;-4,8;-3;-9,4;0
Oslo - Blindern;SN18700;29.11.2018;1,4;1,4;2,9;-3;0
Oslo - Blindern;SN18700;30.11.2018;10,1;6,3;7,2;1,9;0
Oslo - Blindern;SN18700;01.12.2018;8,9;5;7,2;4,1;0
Oslo - Blindern;SN18700;02.12.2018;0,4;4,2;5,1;2,1;0
Oslo - Blindern;SN18700;03.12.2018;16,2;5,4;6,9;4,5;0
Oslo - Blindern;SN18700;04.12.2018;8,9;3,2;6,4;1,9;0
Oslo - Blindern;SN18700;05.12.2018;0;-1,2;2,3;-3,5;0
Oslo - Blindern;SN18700;06.12.2018;0;-2,2;-0,9;-4,2;0
Oslo - Blindern;SN18700;07.12.2018;5,3;-0,3;0,2;-0,9;10
Oslo - Blindern;SN18700;08.12.2018;7,7;-0,2;0,4;-1;16
Oslo - Blindern;SN18700;09.12.2018;1;-1,3;0,7;-2,5;15
Oslo - Blindern;SN18700;10.12.2018;0;2,9;5,1;-3,7;14
Oslo - Blindern;SN18700;11.12.2018;0;2,4;4,6;0,1;12
Oslo - Blindern;SN18700;12.12.2018;0;-3,7;1,3;-5,2;11
Oslo - Blindern;SN18700;13.12.2018;0,4;-6,3;-4,6;-7;11
Oslo - Blindern;SN18700;14.12.2018;0,6;-9,2;-6,7;-11,8;10
Oslo - Blindern;SN18700;15.12.2018;0;-5,7;-4,1;-11,9;10
Oslo - Blindern;SN18700;16.12.2018;1;-0,8;0,1;-4,2;11
Oslo - Blindern;SN18700;17.12.2018;2,3;-1,9;-0,2;-2,5;13
Oslo - Blindern;SN18700;18.12.2018;0;-4,4;-1,4;-7,1;12
Oslo - Blindern;SN18700;19.12.2018;1;-0,3;1,5;-3,5;12
Oslo - Blindern;SN18700;20.12.2018;1,6;1,2;1,9;0,6;10
Oslo - Blindern;SN18700;21.12.2018;1,6;-1,2;0,7;-1,9;10
Oslo - Blindern;SN18700;22.12.2018;1,9;-3,1;-1,8;-3,6;10
Oslo - Blindern;SN18700;23.12.2018;0;-5,4;-3,3;-6,6;10
Oslo - Blindern;SN18700;24.12.2018;0;-7,2;-5,3;-10,3;10
Oslo - Blindern;SN18700;25.12.2018;0;-2;2,3;-5,5;10
Oslo - Blindern;SN18700;26.12.2018;0;0,3;1,8;-1,2;10
Oslo - Blindern;SN18700;27.12.2018;1,1;0,1;1,4;-0,9;9
Oslo - Blindern;SN18700;28.12.2018;1,8;-3,2;0,3;-4,2;9
Oslo - Blindern;SN18700;29.12.2018;0;-2,5;-1,6;-4,7;9
Oslo - Blindern;SN18700;30.12.2018;0;-1,6;-0,1;-2,9;9
Oslo - Blindern;SN18700;31.12.2018;1,5;1,6;2,8;-1,9;11
Oslo - Blindern;SN18700;01.01.2019;0;4,7;7,3;1,8;9
Oslo - Blindern;SN18700;02.01.2019;0;1;4,9;-2,5;8
Oslo - Blindern;SN18700;03.01.2019;0;1;3,2;-0,6;8
Oslo - Blindern;SN18700;04.01.2019;0;2,3;4,9;-1,1;9
Oslo - Blindern;SN18700;05.01.2019;0;3,3;10,4;0,6;8
Oslo - Blindern;SN18700;06.01.2019;0;-1;2,6;-2,5;8
Oslo - Blindern;SN18700;07.01.2019;0;-1;-0,4;-2,3;8
Oslo - Blindern;SN18700;08.01.2019;6,8;1,3;2,5;-0,5;17
Oslo - Blindern;SN18700;09.01.2019;4,2;0,3;2,4;-1;15
Oslo - Blindern;SN18700;10.01.2019;0;-2,1;0,7;-4,1;15
Oslo - Blindern;SN18700;11.01.2019;0;-0,3;6,2;-3,7;14
Oslo - Blindern;SN18700;12.01.2019;0;-4,3;1,4;-6,1;14
Oslo - Blindern;SN18700;13.01.2019;0,1;-3,5;0,3;-7,5;14
Oslo - Blindern;SN18700;14.01.2019;0;0,1;2,6;-4,4;14
Oslo - Blindern;SN18700;15.01.2019;0;-3,9;1,2;-6,6;14
Oslo - Blindern;SN18700;16.01.2019;2,3;-5,5;-3,1;-8,6;18
Oslo - Blindern;SN18700;17.01.2019;5,8;-6,4;-2,7;-9,5;23
Oslo - Blindern;SN18700;18.01.2019;0;-4,4;0,2;-9,5;22
Oslo - Blindern;SN18700;19.01.2019;0;-4,7;-2,1;-8,1;22
Oslo - Blindern;SN18700;20.01.2019;0;-5,9;-1,4;-9,9;21
Oslo - Blindern;SN18700;21.01.2019;1,1;-5,2;-3,1;-7,6;23
Oslo - Blindern;SN18700;22.01.2019;0;-4,1;-3,3;-6,9;22
Oslo - Blindern;SN18700;23.01.2019;0;-1,7;-0,6;-3,4;21
Oslo - Blindern;SN18700;24.01.2019;0;-2,4;-0,7;-3,1;21
Oslo - Blindern;SN18700;25.01.2019;2,8;-2,9;-2,1;-3,1;24
Oslo - Blindern;SN18700;26.01.2019;2,5;-4,6;-2,9;-5,5;28
Oslo - Blindern;SN18700;27.01.2019;0,6;-6;-4;-6,6;27
Oslo - Blindern;SN18700;28.01.2019;6;-5,2;-3,9;-6,5;34
Oslo - Blindern;SN18700;29.01.2019;2,9;-10,6;-4,6;-12,5;36
Oslo - Blindern;SN18700;30.01.2019;0;-10,1;-7,9;-14,1;36
Oslo - Blindern;SN18700;31.01.2019;0,5;-6,4;-4,8;-9,5;36
Oslo - Blindern;SN18700;01.02.2019;2,5;-2,7;-2,1;-4,8;36
Oslo - Blindern;SN18700;02.02.2019;11,9;-3,3;-2,6;-3,7;41
Oslo - Blindern;SN18700;03.02.2019;3,5;-4,6;-0,3;-7,8;41
Oslo - Blindern;SN18700;04.02.2019;0;-7;-4;-12,6;41
Oslo - Blindern;SN18700;05.02.2019;10,3;-2,5;-0,3;-4,2;48
Oslo - Blindern;SN18700;06.02.2019;0,3;-5,7;-1,9;-10;46
Oslo - Blindern;SN18700;07.02.2019;2,9;-2,4;-1,3;-3,8;47
Oslo - Blindern;SN18700;08.02.2019;3,3;-0,1;1,6;-3,8;49
Oslo - Blindern;SN18700;09.02.2019;15;3,3;4,2;0,3;42
Oslo - Blindern;SN18700;10.02.2019;6,1;1,9;3,7;0,8;35
Oslo - Blindern;SN18700;11.02.2019;10,2;0,7;3,7;-2,1;32
Oslo - Blindern;SN18700;12.02.2019;0;-2,1;0,5;-6,6;31
Oslo - Blindern;SN18700;13.02.2019;2,2;4,7;11,1;-0,8;35
Oslo - Blindern;SN18700;14.02.2019;0;1,8;6;-1,9;31
Oslo - Blindern;SN18700;15.02.2019;0;2,3;3,3;1,1;31
Oslo - Blindern;SN18700;16.02.2019;0;2,1;4,3;1,1;29
Oslo - Blindern;SN18700;17.02.2019;0;1,9;3,8;-2,6;28
Oslo - Blindern;SN18700;18.02.2019;0,6;3,5;4,2;2,1;26
Oslo - Blindern;SN18700;19.02.2019;0;3,2;5,7;2,3;23
Oslo - Blindern;SN18700;20.02.2019;0;1,4;5,7;-1,9;21
Oslo - Blindern;SN18700;21.02.2019;9,7;-0,1;2,1;-0,5;29
Oslo - Blindern;SN18700;22.02.2019;0,4;0,2;1,6;-1,2;28
Oslo - Blindern;SN18700;23.02.2019;2,1;2;2,5;1,1;26
Oslo - Blindern;SN18700;24.02.2019;0,1;2,2;4,9;1,1;22
Oslo - Blindern;SN18700;25.02.2019;0;3;5,7;0,5;21
Oslo - Blindern;SN18700;26.02.2019;0;4,8;10,5;1,7;21
Oslo - Blindern;SN18700;27.02.2019;0;0,9;3,9;-0,6;20
Oslo - Blindern;SN18700;28.02.2019;0;3,4;9,6;-1,7;20
Oslo - Blindern;SN18700;01.03.2019;0;1,9;6,5;-1,2;20
Oslo - Blindern;SN18700;02.03.2019;0;-0,5;5,4;-5,8;20
Oslo - Blindern;SN18700;03.03.2019;5,6;2,8;5,2;0,5;19
Oslo - Blindern;SN18700;04.03.2019;5,8;1,7;3,6;1,4;17
Oslo - Blindern;SN18700;05.03.2019;3,4;-1,5;1,6;-3,2;18
Oslo - Blindern;SN18700;06.03.2019;3,6;-1,8;-0,6;-3,8;22
Oslo - Blindern;SN18700;07.03.2019;6,9;1,2;2;-0,9;26
Oslo - Blindern;SN18700;08.03.2019;12,9;0,9;3,9;0,4;20
Oslo - Blindern;SN18700;09.03.2019;0,8;-1,8;0,6;-2,9;21
Oslo - Blindern;SN18700;10.03.2019;1,5;-1,9;2,5;-8,1;21
Oslo - Blindern;SN18700;11.03.2019;0;-2,2;3,9;-8,3;21
Oslo - Blindern;SN18700;12.03.2019;0;-3,1;-0,1;-8,6;21
Oslo - Blindern;SN18700;13.03.2019;8,2;1;3,4;-1,1;24
Oslo - Blindern;SN18700;14.03.2019;5,6;-1,9;1,9;-6,2;24
Oslo - Blindern;SN18700;15.03.2019;0;0,4;1,7;-0,4;24
Oslo - Blindern;SN18700;16.03.2019;0,6;0,7;2,4;-0,8;24
Oslo - Blindern;SN18700;17.03.2019;8,2;1,5;3,3;-0,6;32
Oslo - Blindern;SN18700;18.03.2019;8,8;2,5;6,9;0,1;25
Oslo - Blindern;SN18700;19.03.2019;0;2,3;7,8;-4;24
Oslo - Blindern;SN18700;20.03.2019;0;6,5;12,2;1,5;24
Oslo - Blindern;SN18700;21.03.2019;0;7,6;14,4;4;20
Oslo - Blindern;SN18700;22.03.2019;0;2,9;9,8;-2;17
Oslo - Blindern;SN18700;23.03.2019;0;6,5;10,4;3,7;13
Oslo - Blindern;SN18700;24.03.2019;0,2;4,2;7,8;1,2;12
Oslo - Blindern;SN18700;25.03.2019;0;4,1;9,3;-0,4;11
Oslo - Blindern;SN18700;26.03.2019;0;4,3;8,9;-1,3;10
Oslo - Blindern;SN18700;27.03.2019;0;5,9;13,5;-0,7;8
Oslo - Blindern;SN18700;28.03.2019;0;7;15;-0,3;5
Oslo - Blindern;SN18700;29.03.2019;0;9,2;15,5;4,8;0
Oslo - Blindern;SN18700;30.03.2019;0;6,3;11,1;3,7;0
Oslo - Blindern;SN18700;31.03.2019;1,3;3,7;7,3;1,6;0
Oslo - Blindern;SN18700;01.04.2019;0;2;7,7;-4,5;0
Oslo - Blindern;SN18700;02.04.2019;0;4,7;9,6;0,7;0
Oslo - Blindern;SN18700;03.04.2019;0;4,2;5,8;2,1;0
Oslo - Blindern;SN18700;04.04.2019;0,1;8,8;14,2;4,1;0
Oslo - Blindern;SN18700;05.04.2019;0;5,8;11,2;4,7;0
Oslo - Blindern;SN18700;06.04.2019;0;5,8;11,6;1,2;0
Oslo - Blindern;SN18700;07.04.2019;0;6,1;10,4;2,7;0
Oslo - Blindern;SN18700;08.04.2019;0;4,3;8,6;1;0
Oslo - Blindern;SN18700;09.04.2019;0;2,4;7,4;-3,1;0
Oslo - Blindern;SN18700;10.04.2019;0;2,2;6,3;-0,8;0
Oslo - Blindern;SN18700;11.04.2019;0;2,6;7,7;-1,1;0
Oslo - Blindern;SN18700;12.04.2019;0;3,6;9,5;-4,2;0
Oslo - Blindern;SN18700;13.04.2019;0;5,6;11,2;-1,4;0
Oslo - Blindern;SN18700;14.04.2019;0;5,1;11,7;-1,8;0
Oslo - Blindern;SN18700;15.04.2019;0;6,2;13,2;-2,2;0
Oslo - Blindern;SN18700;16.04.2019;0;6,6;11,3;1,2;0
Oslo - Blindern;SN18700;17.04.2019;0;8,3;15,5;1,9;0
Oslo - Blindern;SN18700;18.04.2019;0;10,2;18,2;1,4;0
Oslo - Blindern;SN18700;19.04.2019;0;11;19,7;2,1;0
Oslo - Blindern;SN18700;20.04.2019;0;11,5;20,2;2,3;0
Oslo - Blindern;SN18700;21.04.2019;0;12;19,8;5,2;0
Oslo - Blindern;SN18700;22.04.2019;0;11,8;19,1;5,7;0
Oslo - Blindern;SN18700;23.04.2019;0;13,1;20;3,8;0
Oslo - Blindern;SN18700;24.04.2019;0;15;20,1;9,5;0
Oslo - Blindern;SN18700;25.04.2019;0,1;14,1;17,9;10,9;0
Oslo - Blindern;SN18700;26.04.2019;1,5;14,8;20,1;9,9;0
Oslo - Blindern;SN18700;27.04.2019;0,1;14,6;20;11,3;0
Oslo - Blindern;SN18700;28.04.2019;9,5;14,6;21,4;9,9;0
Oslo - Blindern;SN18700;29.04.2019;0;16,2;24,3;7;0
Oslo - Blindern;SN18700;30.04.2019;0;16,5;22,8;13,1;0
Oslo - Blindern;SN18700;01.05.2019;0;13,4;17,8;10,5;0
Oslo - Blindern;SN18700;02.05.2019;0,5;6,8;13,9;3,9;0
Oslo - Blindern;SN18700;03.05.2019;0;4;8,9;-1,4;0
Oslo - Blindern;SN18700;04.05.2019;0,4;5,5;11;0;0
Oslo - Blindern;SN18700;05.05.2019;0,9;5,8;11,3;-0,3;0
Oslo - Blindern;SN18700;06.05.2019;0,2;3,3;7,2;1,6;0
Oslo - Blindern;SN18700;07.05.2019;0,9;4,9;9,4;1,2;0
Oslo - Blindern;SN18700;08.05.2019;0;5,5;11,8;-1,8;0
Oslo - Blindern;SN18700;09.05.2019;0,3;6,6;7,8;2,7;0
Oslo - Blindern;SN18700;10.05.2019;10,5;8,7;9,9;7,5;0
Oslo - Blindern;SN18700;11.05.2019;15,2;7,9;10,4;7;0
Oslo - Blindern;SN18700;12.05.2019;0,6;7,8;12,6;4,9;0
Oslo - Blindern;SN18700;13.05.2019;0;8,8;14,1;2;0
Oslo - Blindern;SN18700;14.05.2019;0;10,5;17,9;4,4;0
Oslo - Blindern;SN18700;15.05.2019;0;12,6;19,9;4;0
Oslo - Blindern;SN18700;16.05.2019;0;16,3;21,9;7,8;0
Oslo - Blindern;SN18700;17.05.2019;0;17,4;22,6;9;0
Oslo - Blindern;SN18700;18.05.2019;4,4;12,5;20,3;9,4;0
Oslo - Blindern;SN18700;19.05.2019;12,3;14,5;18,7;12,1;0
Oslo - Blindern;SN18700;20.05.2019;0,1;14,5;17,6;11,1;0
Oslo - Blindern;SN18700;21.05.2019;2;18,7;24,8;14,8;0
Oslo - Blindern;SN18700;22.05.2019;0,9;17;22,7;14,1;0
Oslo - Blindern;SN18700;23.05.2019;0;11,6;14,2;9;0
Oslo - Blindern;SN18700;24.05.2019;12,3;10,2;14,2;8,7;0
Oslo - Blindern;SN18700;25.05.2019;8,9;12,7;17,6;6,4;0
Oslo - Blindern;SN18700;26.05.2019;0,6;11,5;15,8;7,9;0
Oslo - Blindern;SN18700;27.05.2019;0;10,6;13,6;8;0
Oslo - Blindern;SN18700;28.05.2019;0,3;10,3;17,4;6,5;0
Oslo - Blindern;SN18700;29.05.2019;1,8;10,5;16,1;4,4;0
Oslo - Blindern;SN18700;30.05.2019;0,7;9,2;12,9;7,6;0
Oslo - Blindern;SN18700;31.05.2019;9,2;12,1;19,8;2,9;0
Oslo - Blindern;SN18700;01.06.2019;2;11,8;17;8,6;0
Oslo - Blindern;SN18700;02.06.2019;1,7;12,8;19,2;6,8;0
Oslo - Blindern;SN18700;03.06.2019;5,9;13,5;17,9;10,7;0
Oslo - Blindern;SN18700;04.06.2019;0;13,7;18,8;8,4;0
Oslo - Blindern;SN18700;05.06.2019;0;13;16,9;8,1;0
Oslo - Blindern;SN18700;06.06.2019;2,5;18,9;28;12,3;0
Oslo - Blindern;SN18700;07.06.2019;27,8;15,4;19;14,6;0
Oslo - Blindern;SN18700;08.06.2019;0,3;14,2;19,6;11,5;0
Oslo - Blindern;SN18700;09.06.2019;15,9;13;15,3;11,3;0
Oslo - Blindern;SN18700;10.06.2019;3,9;13,9;19,2;7,1;0
Oslo - Blindern;SN18700;11.06.2019;0;15,3;21,3;8;0
Oslo - Blindern;SN18700;12.06.2019;18,1;10,1;16,4;8,7;0
Oslo - Blindern;SN18700;13.06.2019;18,4;11,7;15,5;8,7;0
Oslo - Blindern;SN18700;14.06.2019;0,3;15;19,8;10,6;0
Oslo - Blindern;SN18700;15.06.2019;1,9;19,1;25,9;10;0
Oslo - Blindern;SN18700;16.06.2019;0;16,7;22,9;15,4;0
Oslo - Blindern;SN18700;17.06.2019;0,2;16,3;20,8;12,5;0
